route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"701",1520_SO,1520_39450,"Wzgórza Krzesławickie",,0,SO_701-03_4,896807,0,0
"701",1521_SO,1521_10839,"Wzgórza Krzesławickie",,0,SO_701-03_4,898667,0,0
"701",1520_SO,1520_39453,"Czyżyny Dworzec",,0,SO_701-03_5,896806,0,0
"701",1521_SO,1521_10842,"Czyżyny Dworzec",,0,SO_701-03_5,898666,0,0
"701",1520_SO,1520_39455,"Wzgórza Krzesławickie",,0,SO_701-03_6,896807,0,0
"701",1521_SO,1521_10843,"Wzgórza Krzesławickie",,0,SO_701-03_6,898667,0,0
"701",1520_SO,1520_39459,"Czyżyny Dworzec",,0,SO_701-03_7,896806,0,0
"701",1521_SO,1521_10845,"Czyżyny Dworzec",,0,SO_701-03_7,898666,0,0
"701",1520_SO,1520_39464,"Wzgórza Krzesławickie",,0,SO_701-03_8,896807,0,0
"701",1521_SO,1521_10847,"Wzgórza Krzesławickie",,0,SO_701-03_8,898667,0,0
"701",1520_SO,1520_39470,"Czyżyny Dworzec",,0,SO_701-03_9,896806,0,0
"701",1521_SO,1521_10848,"Czyżyny Dworzec",,0,SO_701-03_9,898666,0,0
"701",1520_SO,1520_39474,"Wzgórza Krzesławickie",,0,SO_701-03_10,896807,0,0
"701",1521_SO,1521_10850,"Wzgórza Krzesławickie",,0,SO_701-03_10,898667,0,0
"701",1520_SO,1520_39478,"Czyżyny Dworzec",,0,SO_701-03_11,896806,0,0
"701",1521_SO,1521_10852,"Czyżyny Dworzec",,0,SO_701-03_11,898666,0,0
"701",1520_SO,1520_39482,"Wzgórza Krzesławickie",,0,SO_701-03_12,896807,0,0
"701",1521_SO,1521_10854,"Wzgórza Krzesławickie",,0,SO_701-03_12,898667,0,0
"701",1520_SO,1520_39486,"Czyżyny Dworzec",,0,SO_701-03_13,896806,0,0
"701",1521_SO,1521_10856,"Czyżyny Dworzec",,0,SO_701-03_13,898666,0,0
"701",1520_SO,1520_39490,"Wzgórza Krzesławickie",,0,SO_701-03_14,896807,0,0
"701",1521_SO,1521_10858,"Wzgórza Krzesławickie",,0,SO_701-03_14,898667,0,0
"701",1520_SO,1520_39494,"Czyżyny Dworzec",,0,SO_701-03_15,896806,0,0
"701",1521_SO,1521_10860,"Czyżyny Dworzec",,0,SO_701-03_15,898666,0,0
"701",1520_SO,1520_39497,"Wzgórza Krzesławickie",,0,SO_701-03_16,896807,0,0
"701",1521_SO,1521_10862,"Wzgórza Krzesławickie",,0,SO_701-03_16,898667,0,0
"701",1520_SO,1520_39502,"Czyżyny Dworzec",,0,SO_701-03_17,896806,0,0
"701",1521_SO,1521_10865,"Czyżyny Dworzec",,0,SO_701-03_17,898666,0,0
"701",1520_SO,1520_39505,"Wzgórza Krzesławickie",,0,SO_701-03_18,896807,0,0
"701",1521_SO,1521_10867,"Wzgórza Krzesławickie",,0,SO_701-03_18,898667,0,0
"701",1520_SO,1520_39509,"Czyżyny Dworzec",,0,SO_701-03_19,896806,0,0
